08/22/2022 15:27:08 MDT Started script...
08/22/2022 15:27:08 MDT Device: cpu
08/22/2022 15:27:08 MDT Fold 1
08/22/2022 15:27:08 MDT Fold 1; Rep 1
08/22/2022 15:27:08 MDT Data loaded.
08/22/2022 15:27:08 MDT Data loaded.
08/22/2022 15:27:08 MDT Epoch 1
08/22/2022 15:27:08 MDT Batch 1
08/22/2022 15:27:08 MDT Batch 2
08/22/2022 15:27:08 MDT Batch 3
08/22/2022 15:27:09 MDT Batch 4
08/22/2022 15:27:09 MDT Batch 5
08/22/2022 15:27:09 MDT Batch 6
08/22/2022 15:27:09 MDT Batch 7
08/22/2022 15:27:09 MDT Batch 8
08/22/2022 15:27:09 MDT Batch 9
08/22/2022 15:27:09 MDT Batch 10
08/22/2022 15:27:10 MDT Batch 11
08/22/2022 15:27:11 MDT EPOCH #1: TRAIN AP 0.254086, VAL AP 0.261060, TRAIN TIME 0m 1.992587s, VAL TIME 0m 1.177716s
08/22/2022 15:27:11 MDT Epoch 2
08/22/2022 15:27:11 MDT Batch 1
08/22/2022 15:27:11 MDT Batch 2
08/22/2022 15:27:11 MDT Batch 3
08/22/2022 15:27:11 MDT Batch 4
08/22/2022 15:27:12 MDT Batch 5
08/22/2022 15:27:12 MDT Batch 6
08/22/2022 15:27:12 MDT Batch 7
08/22/2022 15:27:12 MDT Batch 8
08/22/2022 15:27:12 MDT Batch 9
08/22/2022 15:27:12 MDT Batch 10
08/22/2022 15:27:12 MDT Batch 11
08/22/2022 15:27:13 MDT EPOCH #2: TRAIN AP 0.253731, VAL AP 0.204062, TRAIN TIME 0m 1.431241s, VAL TIME 0m 1.057568s
08/22/2022 15:27:13 MDT Epoch 3
08/22/2022 15:27:13 MDT Batch 1
08/22/2022 15:27:14 MDT Batch 2
08/22/2022 15:27:14 MDT Batch 3
08/22/2022 15:27:14 MDT Batch 4
08/22/2022 15:27:14 MDT Batch 5
08/22/2022 15:27:14 MDT Batch 6
08/22/2022 15:27:14 MDT Batch 7
08/22/2022 15:27:14 MDT Batch 8
08/22/2022 15:27:15 MDT Batch 9
08/22/2022 15:27:15 MDT Batch 10
08/22/2022 15:27:15 MDT Batch 11
08/22/2022 15:27:16 MDT EPOCH #3: TRAIN AP 0.245426, VAL AP 0.269121, TRAIN TIME 0m 1.517902s, VAL TIME 0m 1.019361s
08/22/2022 15:27:16 MDT Epoch 4
