08/22/2022 15:26:57 MDT EPOCH #9: TRAIN AP 0.254703, VAL AP 0.210081, TRAIN TIME 0m 1.108262s, VAL TIME 0m 0.850760s
08/22/2022 15:26:57 MDT Epoch 10
08/22/2022 15:26:57 MDT Batch 1
08/22/2022 15:26:57 MDT Batch 2
08/22/2022 15:26:57 MDT Batch 3
08/22/2022 15:26:57 MDT Batch 4
08/22/2022 15:26:57 MDT Batch 5
08/22/2022 15:26:58 MDT Batch 6
08/22/2022 15:26:58 MDT Batch 7
08/22/2022 15:26:58 MDT Batch 8
08/22/2022 15:26:58 MDT Batch 9
08/22/2022 15:26:58 MDT Batch 10
08/22/2022 15:26:58 MDT Batch 11
08/22/2022 15:26:59 MDT EPOCH #10: TRAIN AP 0.251299, VAL AP 0.227010, TRAIN TIME 0m 1.041017s, VAL TIME 0m 0.863233s
08/22/2022 15:26:59 MDT Epoch 11
08/22/2022 15:26:59 MDT Batch 1
08/22/2022 15:26:59 MDT Batch 2
08/22/2022 15:26:59 MDT Batch 3
08/22/2022 15:26:59 MDT Batch 4
08/22/2022 15:26:59 MDT Batch 5
08/22/2022 15:26:59 MDT Batch 6
08/22/2022 15:27:00 MDT Batch 7
08/22/2022 15:27:00 MDT Batch 8
08/22/2022 15:27:00 MDT Batch 9
08/22/2022 15:27:00 MDT Batch 10
08/22/2022 15:27:00 MDT Batch 11
08/22/2022 15:27:01 MDT EPOCH #11: TRAIN AP 0.267814, VAL AP 0.249932, TRAIN TIME 0m 1.073141s, VAL TIME 0m 0.909029s
08/22/2022 15:27:01 MDT Epoch 12
08/22/2022 15:27:01 MDT Batch 1
08/22/2022 15:27:01 MDT Batch 2
08/22/2022 15:27:01 MDT Batch 3
08/22/2022 15:27:01 MDT Batch 4
08/22/2022 15:27:01 MDT Batch 5
08/22/2022 15:27:01 MDT Batch 6
08/22/2022 15:27:01 MDT Batch 7
08/22/2022 15:27:02 MDT Batch 8
08/22/2022 15:27:02 MDT Batch 9
08/22/2022 15:27:02 MDT Batch 10
08/22/2022 15:27:02 MDT Batch 11
08/22/2022 15:27:03 MDT EPOCH #12: TRAIN AP 0.255151, VAL AP 0.237001, TRAIN TIME 0m 1.041043s, VAL TIME 0m 0.878903s
08/22/2022 15:27:03 MDT Epoch 13
08/22/2022 15:27:03 MDT Batch 1
08/22/2022 15:27:03 MDT Batch 2
08/22/2022 15:27:03 MDT Batch 3
08/22/2022 15:27:03 MDT Batch 4
08/22/2022 15:27:03 MDT Batch 5
08/22/2022 15:27:03 MDT Batch 6
08/22/2022 15:27:03 MDT Batch 7
08/22/2022 15:27:04 MDT Batch 8
08/22/2022 15:27:04 MDT Batch 9
08/22/2022 15:27:04 MDT Batch 10
08/22/2022 15:27:04 MDT Batch 11
08/22/2022 15:27:05 MDT EPOCH #13: TRAIN AP 0.259620, VAL AP 0.169081, TRAIN TIME 0m 1.096751s, VAL TIME 0m 0.848575s
08/22/2022 15:27:05 MDT Epoch 14
08/22/2022 15:27:05 MDT Batch 1
08/22/2022 15:27:05 MDT Batch 2
08/22/2022 15:27:05 MDT Batch 3
08/22/2022 15:27:05 MDT Batch 4
08/22/2022 15:27:05 MDT Batch 5
08/22/2022 15:27:05 MDT Batch 6
08/22/2022 15:27:05 MDT Batch 7
08/22/2022 15:27:06 MDT Batch 8
08/22/2022 15:27:06 MDT Batch 9
08/22/2022 15:27:06 MDT Batch 10
08/22/2022 15:27:06 MDT Batch 11
08/22/2022 15:27:07 MDT EPOCH #14: TRAIN AP 0.247427, VAL AP 0.138063, TRAIN TIME 0m 1.109626s, VAL TIME 0m 0.840117s
08/22/2022 15:27:07 MDT STOPPING...BEST EPOCH #3
08/22/2022 15:27:07 MDT Fold 1; Rep 2
08/22/2022 15:27:07 MDT Data loaded.
08/22/2022 15:27:07 MDT Data loaded.
08/22/2022 15:27:07 MDT Epoch 1
08/22/2022 15:27:07 MDT Batch 1
08/22/2022 15:27:07 MDT Batch 2
08/22/2022 15:27:07 MDT Batch 3
08/22/2022 15:27:07 MDT Batch 4
08/22/2022 15:27:07 MDT Batch 5
08/22/2022 15:27:07 MDT Batch 6
08/22/2022 15:27:07 MDT Batch 7
08/22/2022 15:27:07 MDT Batch 8
08/22/2022 15:27:08 MDT Batch 9
08/22/2022 15:27:08 MDT Batch 10
08/22/2022 15:27:08 MDT Batch 11
08/22/2022 15:27:09 MDT EPOCH #1: TRAIN AP 0.252344, VAL AP 0.247525, TRAIN TIME 0m 1.038033s, VAL TIME 0m 0.863866s
08/22/2022 15:27:09 MDT Epoch 2
08/22/2022 15:27:09 MDT Batch 1
08/22/2022 15:27:09 MDT Batch 2
08/22/2022 15:27:09 MDT Batch 3
08/22/2022 15:27:09 MDT Batch 4
08/22/2022 15:27:09 MDT Batch 5
08/22/2022 15:27:09 MDT Batch 6
08/22/2022 15:27:09 MDT Batch 7
08/22/2022 15:27:09 MDT Batch 8
08/22/2022 15:27:09 MDT Batch 9
08/22/2022 15:27:10 MDT Batch 10
08/22/2022 15:27:10 MDT Batch 11
08/22/2022 15:27:11 MDT EPOCH #2: TRAIN AP 0.262568, VAL AP 0.228055, TRAIN TIME 0m 1.056861s, VAL TIME 0m 0.840064s
08/22/2022 15:27:11 MDT Epoch 3
08/22/2022 15:27:11 MDT Batch 1
08/22/2022 15:27:11 MDT Batch 2
08/22/2022 15:27:11 MDT Batch 3
08/22/2022 15:27:11 MDT Batch 4
08/22/2022 15:27:11 MDT Batch 5
08/22/2022 15:27:11 MDT Batch 6
08/22/2022 15:27:11 MDT Batch 7
08/22/2022 15:27:11 MDT Batch 8
08/22/2022 15:27:11 MDT Batch 9
08/22/2022 15:27:11 MDT Batch 10
08/22/2022 15:27:12 MDT Batch 11
08/22/2022 15:27:13 MDT EPOCH #3: TRAIN AP 0.252722, VAL AP 0.191234, TRAIN TIME 0m 1.053050s, VAL TIME 0m 0.839213s
08/22/2022 15:27:13 MDT Epoch 4
08/22/2022 15:27:13 MDT Batch 1
08/22/2022 15:27:13 MDT Batch 2
08/22/2022 15:27:13 MDT Batch 3
08/22/2022 15:27:13 MDT Batch 4
08/22/2022 15:27:13 MDT Batch 5
08/22/2022 15:27:13 MDT Batch 6
08/22/2022 15:27:13 MDT Batch 7
08/22/2022 15:27:13 MDT Batch 8
08/22/2022 15:27:13 MDT Batch 9
08/22/2022 15:27:14 MDT Batch 10
08/22/2022 15:27:14 MDT Batch 11
08/22/2022 15:27:15 MDT EPOCH #4: TRAIN AP 0.253572, VAL AP 0.193776, TRAIN TIME 0m 1.203770s, VAL TIME 0m 0.856647s
08/22/2022 15:27:15 MDT Epoch 5
08/22/2022 15:27:15 MDT Batch 1
08/22/2022 15:27:15 MDT Batch 2
08/22/2022 15:27:15 MDT Batch 3
08/22/2022 15:27:15 MDT Batch 4
08/22/2022 15:27:15 MDT Batch 5
08/22/2022 15:27:15 MDT Batch 6
08/22/2022 15:27:15 MDT Batch 7
08/22/2022 15:27:15 MDT Batch 8
08/22/2022 15:27:15 MDT Batch 9
