08/22/2022 22:54:10 MDT Batch 37
08/22/2022 22:54:10 MDT Batch 38
08/22/2022 22:54:10 MDT Batch 39
08/22/2022 22:54:11 MDT Batch 40
08/22/2022 22:54:11 MDT Batch 41
08/22/2022 22:54:11 MDT Batch 42
08/22/2022 22:54:11 MDT Batch 43
08/22/2022 22:54:12 MDT Batch 44
08/22/2022 22:54:12 MDT Batch 45
08/22/2022 22:54:21 MDT EPOCH #3: TRAIN AP 0.164973, VAL AP 0.201311, TRAIN TIME 0m 8.963912s, VAL TIME 0m 9.335977s
08/22/2022 22:54:21 MDT Epoch 4
08/22/2022 22:54:21 MDT Batch 1
08/22/2022 22:54:22 MDT Batch 2
08/22/2022 22:54:22 MDT Batch 3
08/22/2022 22:54:22 MDT Batch 4
08/22/2022 22:54:22 MDT Batch 5
08/22/2022 22:54:22 MDT Batch 6
08/22/2022 22:54:23 MDT Batch 7
08/22/2022 22:54:23 MDT Batch 8
08/22/2022 22:54:23 MDT Batch 9
08/22/2022 22:54:23 MDT Batch 10
08/22/2022 22:54:23 MDT Batch 11
08/22/2022 22:54:24 MDT Batch 12
08/22/2022 22:54:24 MDT Batch 13
08/22/2022 22:54:24 MDT Batch 14
08/22/2022 22:54:24 MDT Batch 15
08/22/2022 22:54:24 MDT Batch 16
08/22/2022 22:54:24 MDT Batch 17
08/22/2022 22:54:25 MDT Batch 18
08/22/2022 22:54:25 MDT Batch 19
08/22/2022 22:54:25 MDT Batch 20
08/22/2022 22:54:25 MDT Batch 21
08/22/2022 22:54:25 MDT Batch 22
08/22/2022 22:54:26 MDT Batch 23
08/22/2022 22:54:26 MDT Batch 24
08/22/2022 22:54:26 MDT Batch 25
08/22/2022 22:54:26 MDT Batch 26
08/22/2022 22:54:26 MDT Batch 27
08/22/2022 22:54:27 MDT Batch 28
08/22/2022 22:54:27 MDT Batch 29
08/22/2022 22:54:27 MDT Batch 30
08/22/2022 22:54:27 MDT Batch 31
08/22/2022 22:54:27 MDT Batch 32
08/22/2022 22:54:28 MDT Batch 33
08/22/2022 22:54:28 MDT Batch 34
08/22/2022 22:54:28 MDT Batch 35
08/22/2022 22:54:28 MDT Batch 36
08/22/2022 22:54:28 MDT Batch 37
08/22/2022 22:54:29 MDT Batch 38
08/22/2022 22:54:29 MDT Batch 39
08/22/2022 22:54:29 MDT Batch 40
08/22/2022 22:54:29 MDT Batch 41
08/22/2022 22:54:29 MDT Batch 42
08/22/2022 22:54:30 MDT Batch 43
08/22/2022 22:54:30 MDT Batch 44
08/22/2022 22:54:30 MDT Batch 45
08/22/2022 22:54:39 MDT EPOCH #4: TRAIN AP 0.198682, VAL AP 0.202882, TRAIN TIME 0m 8.786242s, VAL TIME 0m 9.193303s
08/22/2022 22:54:39 MDT Epoch 5
08/22/2022 22:54:39 MDT Batch 1
08/22/2022 22:54:40 MDT Batch 2
08/22/2022 22:54:40 MDT Batch 3
08/22/2022 22:54:40 MDT Batch 4
08/22/2022 22:54:40 MDT Batch 5
08/22/2022 22:54:40 MDT Batch 6
08/22/2022 22:54:40 MDT Batch 7
08/22/2022 22:54:41 MDT Batch 8
08/22/2022 22:54:41 MDT Batch 9
08/22/2022 22:54:41 MDT Batch 10
08/22/2022 22:54:41 MDT Batch 11
08/22/2022 22:54:41 MDT Batch 12
08/22/2022 22:54:42 MDT Batch 13
08/22/2022 22:54:42 MDT Batch 14
08/22/2022 22:54:42 MDT Batch 15
08/22/2022 22:54:42 MDT Batch 16
08/22/2022 22:54:42 MDT Batch 17
08/22/2022 22:54:43 MDT Batch 18
08/22/2022 22:54:43 MDT Batch 19
08/22/2022 22:54:43 MDT Batch 20
08/22/2022 22:54:43 MDT Batch 21
08/22/2022 22:54:43 MDT Batch 22
08/22/2022 22:54:44 MDT Batch 23
08/22/2022 22:54:44 MDT Batch 24
08/22/2022 22:54:44 MDT Batch 25
08/22/2022 22:54:44 MDT Batch 26
08/22/2022 22:54:44 MDT Batch 27
08/22/2022 22:54:45 MDT Batch 28
08/22/2022 22:54:45 MDT Batch 29
08/22/2022 22:54:45 MDT Batch 30
08/22/2022 22:54:45 MDT Batch 31
08/22/2022 22:54:45 MDT Batch 32
08/22/2022 22:54:46 MDT Batch 33
08/22/2022 22:54:46 MDT Batch 34
08/22/2022 22:54:46 MDT Batch 35
08/22/2022 22:54:46 MDT Batch 36
08/22/2022 22:54:46 MDT Batch 37
08/22/2022 22:54:47 MDT Batch 38
08/22/2022 22:54:47 MDT Batch 39
08/22/2022 22:54:47 MDT Batch 40
08/22/2022 22:54:47 MDT Batch 41
08/22/2022 22:54:47 MDT Batch 42
08/22/2022 22:54:48 MDT Batch 43
08/22/2022 22:54:48 MDT Batch 44
08/22/2022 22:54:48 MDT Batch 45
08/22/2022 22:54:58 MDT EPOCH #5: TRAIN AP 0.201930, VAL AP 0.183024, TRAIN TIME 0m 9.002006s, VAL TIME 0m 9.290471s
08/22/2022 22:54:58 MDT Epoch 6
08/22/2022 22:54:58 MDT Batch 1
08/22/2022 22:54:58 MDT Batch 2
08/22/2022 22:54:58 MDT Batch 3
08/22/2022 22:54:58 MDT Batch 4
08/22/2022 22:54:58 MDT Batch 5
08/22/2022 22:54:59 MDT Batch 6
08/22/2022 22:54:59 MDT Batch 7
08/22/2022 22:54:59 MDT Batch 8
08/22/2022 22:54:59 MDT Batch 9
08/22/2022 22:54:59 MDT Batch 10
08/22/2022 22:54:59 MDT Batch 11
08/22/2022 22:55:00 MDT Batch 12
08/22/2022 22:55:00 MDT Batch 13
08/22/2022 22:55:00 MDT Batch 14
08/22/2022 22:55:00 MDT Batch 15
08/22/2022 22:55:00 MDT Batch 16
08/22/2022 22:55:01 MDT Batch 17
08/22/2022 22:55:01 MDT Batch 18
08/22/2022 22:55:01 MDT Batch 19
08/22/2022 22:55:01 MDT Batch 20
08/22/2022 22:55:01 MDT Batch 21
08/22/2022 22:55:01 MDT Batch 22
08/22/2022 22:55:02 MDT Batch 23
08/22/2022 22:55:02 MDT Batch 24
08/22/2022 22:55:02 MDT Batch 25
08/22/2022 22:55:02 MDT Batch 26
08/22/2022 22:55:02 MDT Batch 27
08/22/2022 22:55:03 MDT Batch 28
08/22/2022 22:55:03 MDT Batch 29
08/22/2022 22:55:03 MDT Batch 30
08/22/2022 22:55:03 MDT Batch 31
08/22/2022 22:55:03 MDT Batch 32
08/22/2022 22:55:04 MDT Batch 33
08/22/2022 22:55:04 MDT Batch 34
08/22/2022 22:55:04 MDT Batch 35
08/22/2022 22:55:04 MDT Batch 36
08/22/2022 22:55:04 MDT Batch 37
08/22/2022 22:55:04 MDT Batch 38
08/22/2022 22:55:05 MDT Batch 39
08/22/2022 22:55:05 MDT Batch 40
